Artikelnummer,Farbe
11110,Lasurweiß
11112,Zinkweiß
11114,Titanweiß
11116,Deckweiß
11118,Zink-Titanweiß
11220,Heller Ocker gebrannt
11222,Neapelgelb rötlich
11224,Neapelgelb dunkel
11226,Neapelgelb hell
11228,Chromgelbton hell
11230,Chromgelbton mittel
11232,Chromgelbton dunkel
11234,Jaune brillant
11236,Zitronengelb
11238,Kadmiumgelb zitron
11240,Kadmiumgelb
11242,Kadmiumgelb hell
11244,Kadmiumgelb dunkel
11246,Brillantgelb
11248,Indischgelb
11300,Kadmiumorange
11302,Brillantorange
11304,Mohnrot
11306,Zinnoberrot hell
11308,Zinnoberrot dunkel
11310,Kadmiumrot hell
11312,Kadmiumrot
11314,Kadmiumrot dunkel
11316,Krapphell
11318,Krapprot
11320,Krapprubin
11342,Krappdunkel
11344,Karminrot
11346,Rubinrot
11348,Magenta
11350,Kobaltviolettton
11352,Tiefviolett
11400,Indanthronblau
11402,Ultramarinblau dunkel
11404,Ultramarinblau hell
11406,Königsblau
11408,Kobaltblau dunkel
11410,Kobaltblau hell
11412,Kobaltblauton
11414,Kobaltcoelinblau
11416,Indigo
11418,Preußischblau
11420,Phthaloblau
11422,Coelinblau
11424,Azurblau
11426,Kobalttürkis
11500,Phthalogrün
11502,Chromoxidgrün feurig
11504,Smaragdgrün
11506,Schweinfurter Grünton
11508,Permanentgrün
11510,Permanentgelbgrün
11512,Olivgrün
11514,Saftgrün
11516,Chromoxidgrün stumpf
11518,Grüne Erde
11600,Lichter Ocker natur
11602,Gelber Ocker
11604,Lasurocker
11606,Goldocker
11608,Siena natur
11610,Siena gebrannt
11612,Englischrot
11614,Terra rossa
11616,Caput mortuum
11618,Lasurrotbraun
11620,Achatbraun
11622,Umbra natur
11624,Umbra gebrannt
11626,Vandyckbraun
11700,Neutralschwarz
11702,Eisenoxidschwarz
11704,Elfenbeinschwarz
11706,Paynesgrau
11708,Warmgrau
11710,Kaltgrau
11800,Silber
11802,Klassikgold
11804,Bronze
